Date;Distance to Obstacle;IR Sensor Left;IR Sensor Middle;IR Sensor Right;
 Jul  2 16:59:56 2020;79;0;0;0;
Thu Jul  2 16:59:57 2020;128;0;0;0;
Thu Jul  2 16:59:57 2020;126;0;0;0;
Thu Jul  2 16:59:58 2020;63;0;0;0;
Thu Jul  2 16:59:58 2020;78;0;0;0;
Thu Jul  2 16:59:59 2020;114;0;0;0;
Thu Jul  2 16:59:59 2020;118;0;0;0;
Thu Jul  2 17:00:00 2020;126;0;0;0;
Thu Jul  2 17:00:00 2020;127;0;0;0;
Thu Jul  2 17:00:01 2020;111;0;0;0;
Thu Jul  2 17:00:01 2020;126;0;0;0;
Thu Jul  2 17:00:02 2020;127;0;0;0;
Thu Jul  2 17:00:03 2020;126;0;0;0;
Thu Jul  2 17:00:03 2020;128;0;0;0;
Thu Jul  2 17:00:04 2020;127;0;0;0;
Thu Jul  2 17:00:04 2020;128;0;0;0;
Thu Jul  2 17:00:05 2020;19;0;0;0;
Thu Jul  2 17:00:05 2020;64;0;0;0;
Thu Jul  2 17:00:06 2020;55;0;0;0;
Thu Jul  2 17:00:06 2020;89;0;0;0;
Thu Jul  2 17:00:07 2020;89;0;0;0;
Thu Jul  2 17:00:07 2020;227;0;0;0;
Thu Jul  2 17:00:08 2020;263;0;0;0;
Thu Jul  2 17:00:09 2020;235;0;0;0;
Thu Jul  2 17:00:09 2020;25;0;0;0;
Thu Jul  2 17:00:10 2020;9;0;0;0;
Thu Jul  2 17:00:11 2020;64;0;0;0;
Thu Jul  2 17:00:12 2020;11;0;0;0;
Thu Jul  2 17:00:12 2020;32;0;0;0;
Thu Jul  2 17:00:13 2020;37;0;0;0;
Thu Jul  2 17:00:13 2020;5;0;0;0;
Thu Jul  2 17:00:14 2020;6;0;0;0;
Thu Jul  2 17:00:14 2020;72;0;0;0;
Thu Jul  2 17:00:15 2020;8;0;0;0;
Thu Jul  2 17:00:15 2020;5;0;0;0;
Thu Jul  2 17:00:16 2020;67;0;0;0;
Thu Jul  2 17:00:16 2020;7;0;0;0;
Thu Jul  2 17:00:17 2020;22;0;0;0;
Thu Jul  2 17:00:17 2020;263;0;0;0;
Thu Jul  2 17:00:18 2020;242;0;0;0;
Thu Jul  2 17:00:18 2020;243;0;0;0;
Thu Jul  2 17:00:19 2020;262;0;0;0;
Thu Jul  2 17:00:20 2020;262;0;0;0;
Thu Jul  2 17:00:20 2020;22;0;0;0;
Thu Jul  2 17:00:21 2020;21;0;0;0;
Thu Jul  2 17:00:21 2020;8;0;0;0;
Thu Jul  2 17:00:22 2020;11;0;0;0;
Thu Jul  2 17:00:22 2020;10;0;0;0;
Thu Jul  2 17:00:23 2020;11;0;0;0;
Thu Jul  2 17:00:23 2020;10;0;0;0;
Thu Jul  2 17:00:24 2020;10;0;0;0;
Thu Jul  2 17:00:25 2020;9;0;0;0;
Thu Jul  2 17:00:25 2020;9;0;0;0;
Thu Jul  2 17:00:26 2020;10;0;0;0;
Thu Jul  2 17:00:26 2020;9;0;0;0;
Thu Jul  2 17:00:27 2020;330;0;0;0;
Thu Jul  2 17:00:27 2020;127;0;0;0;
Thu Jul  2 17:00:28 2020;116;0;0;0;
Thu Jul  2 17:00:28 2020;132;0;0;0;
Thu Jul  2 17:00:29 2020;116;0;0;0;
Thu Jul  2 17:00:29 2020;66;0;0;0;
Thu Jul  2 17:00:30 2020;115;0;0;0;
Thu Jul  2 17:00:30 2020;31;0;0;0;
Thu Jul  2 17:00:31 2020;68;0;0;0;
Thu Jul  2 17:00:31 2020;60;0;0;0;
Thu Jul  2 17:00:32 2020;116;0;0;0;
Thu Jul  2 17:00:32 2020;26;0;0;0;
Thu Jul  2 17:00:33 2020;119;0;0;0;
Thu Jul  2 17:00:34 2020;120;0;0;0;
Thu Jul  2 17:00:34 2020;118;0;0;0;
Thu Jul  2 17:00:35 2020;120;0;0;0;
Thu Jul  2 17:00:35 2020;6;0;0;0;
Thu Jul  2 17:00:36 2020;119;0;0;0;
Thu Jul  2 17:00:36 2020;32;0;0;0;
Thu Jul  2 17:00:37 2020;77;0;0;0;
Thu Jul  2 17:00:37 2020;119;0;0;0;
Thu Jul  2 17:00:38 2020;126;0;0;0;
Thu Jul  2 17:00:38 2020;127;0;0;0;
Thu Jul  2 17:00:39 2020;119;0;0;0;
Thu Jul  2 17:00:39 2020;128;0;0;0;
Thu Jul  2 17:00:40 2020;129;0;0;0;
Thu Jul  2 17:00:40 2020;117;0;0;0;
Thu Jul  2 17:00:41 2020;117;0;0;0;
Thu Jul  2 17:00:41 2020;117;0;0;0;
Thu Jul  2 17:00:42 2020;68;0;0;0;
Thu Jul  2 17:00:43 2020;82;0;0;0;
Thu Jul  2 17:00:43 2020;116;0;0;0;
Thu Jul  2 17:00:44 2020;69;0;0;0;
Thu Jul  2 17:00:44 2020;62;0;0;0;
Thu Jul  2 17:00:45 2020;29;0;0;0;
Thu Jul  2 17:00:45 2020;26;0;0;0;
Thu Jul  2 17:00:46 2020;27;0;0;0;
Thu Jul  2 17:00:46 2020;29;0;0;0;
Thu Jul  2 17:00:47 2020;29;0;0;0;
Thu Jul  2 17:00:47 2020;6;0;0;0;
Thu Jul  2 17:00:48 2020;20;0;0;0;
Thu Jul  2 17:00:48 2020;63;0;0;0;
Thu Jul  2 17:00:49 2020;127;0;0;0;
Thu Jul  2 17:00:49 2020;30;0;0;0;
Thu Jul  2 17:00:50 2020;69;0;0;0;
Thu Jul  2 17:00:50 2020;30;0;0;0;
Thu Jul  2 17:00:51 2020;29;0;0;0;
Thu Jul  2 17:00:52 2020;67;0;0;0;
Thu Jul  2 17:00:52 2020;118;0;0;0;
Thu Jul  2 17:00:53 2020;129;0;0;0;
Thu Jul  2 17:00:54 2020;59;0;0;0;
Thu Jul  2 17:00:54 2020;117;0;0;0;
Thu Jul  2 17:00:55 2020;118;0;0;0;
Thu Jul  2 17:00:56 2020;116;0;0;0;
Thu Jul  2 17:00:56 2020;118;0;0;0;
Thu Jul  2 17:00:57 2020;119;0;0;0;
Thu Jul  2 17:00:57 2020;63;0;0;0;
Thu Jul  2 17:00:58 2020;29;0;0;0;
Thu Jul  2 17:00:58 2020;24;0;0;0;
Thu Jul  2 17:00:59 2020;48;0;0;0;
Thu Jul  2 17:00:59 2020;126;0;0;0;
Thu Jul  2 17:01:00 2020;79;0;0;0;
Thu Jul  2 17:01:00 2020;124;0;0;0;
Thu Jul  2 17:01:01 2020;127;0;0;0;
Thu Jul  2 17:01:02 2020;125;0;0;0;
Thu Jul  2 17:01:02 2020;126;0;0;0;
Thu Jul  2 17:01:03 2020;79;0;0;0;
Thu Jul  2 17:01:03 2020;118;0;0;0;
Thu Jul  2 17:01:04 2020;77;0;0;0;
Thu Jul  2 17:01:04 2020;55;0;0;0;
Thu Jul  2 17:01:05 2020;117;0;0;0;
Thu Jul  2 17:01:06 2020;126;0;0;0;
Thu Jul  2 17:01:06 2020;54;0;0;0;
Thu Jul  2 17:01:07 2020;127;0;0;0;
Thu Jul  2 17:01:08 2020;127;0;0;0;
Thu Jul  2 17:01:08 2020;127;0;0;0;
Thu Jul  2 17:01:09 2020;61;0;0;0;
Thu Jul  2 17:01:10 2020;80;0;0;0;
Thu Jul  2 17:01:10 2020;129;0;0;0;
Thu Jul  2 17:01:11 2020;56;0;0;0;
Thu Jul  2 17:01:12 2020;116;0;0;0;
Thu Jul  2 17:01:12 2020;28;0;0;0;
Thu Jul  2 17:01:13 2020;27;0;0;0;
Thu Jul  2 17:01:13 2020;71;0;0;0;
Thu Jul  2 17:01:14 2020;62;0;0;0;
Thu Jul  2 17:01:15 2020;63;0;0;0;
Thu Jul  2 17:01:16 2020;124;0;0;0;
Thu Jul  2 17:01:16 2020;116;0;0;0;
Thu Jul  2 17:01:17 2020;117;0;0;0;
Thu Jul  2 17:01:18 2020;117;0;0;0;
Thu Jul  2 17:01:19 2020;78;0;0;0;
Thu Jul  2 17:01:19 2020;75;0;0;0;
Thu Jul  2 17:01:20 2020;55;0;0;0;
Thu Jul  2 17:01:20 2020;51;0;0;0;
Thu Jul  2 17:01:21 2020;62;0;0;0;
Thu Jul  2 17:01:21 2020;123;0;0;0;
Thu Jul  2 17:01:22 2020;26;0;0;0;
Thu Jul  2 17:01:22 2020;79;0;0;0;
Thu Jul  2 17:01:23 2020;46;0;0;0;
Thu Jul  2 17:01:23 2020;68;0;0;0;
Thu Jul  2 17:01:24 2020;28;0;0;0;
Thu Jul  2 17:01:24 2020;66;0;0;0;
Thu Jul  2 17:01:25 2020;117;0;0;0;
Thu Jul  2 17:01:25 2020;123;0;0;0;
Thu Jul  2 17:01:26 2020;116;0;0;0;
Thu Jul  2 17:01:27 2020;119;0;0;0;
Thu Jul  2 17:01:27 2020;73;0;0;0;
Thu Jul  2 17:01:28 2020;27;0;0;0;
Thu Jul  2 17:01:28 2020;78;0;0;0;
Thu Jul  2 17:01:29 2020;64;0;0;0;
Thu Jul  2 17:01:29 2020;64;0;0;0;
Thu Jul  2 17:01:30 2020;69;0;0;0;
Thu Jul  2 17:01:30 2020;65;0;0;0;
Thu Jul  2 17:01:31 2020;80;0;0;0;
Thu Jul  2 17:01:31 2020;122;0;0;0;
Thu Jul  2 17:01:32 2020;123;0;0;0;
Thu Jul  2 17:01:32 2020;123;0;0;0;
Thu Jul  2 17:01:33 2020;70;0;0;0;
Thu Jul  2 17:01:33 2020;123;0;0;0;
Thu Jul  2 17:01:34 2020;125;0;0;0;
Thu Jul  2 17:01:35 2020;123;0;0;0;
Thu Jul  2 17:01:35 2020;123;0;0;0;
Thu Jul  2 17:01:36 2020;122;0;0;0;
Thu Jul  2 17:01:36 2020;117;0;0;0;
Thu Jul  2 17:01:37 2020;117;0;0;0;
Thu Jul  2 17:01:37 2020;122;0;0;0;
Thu Jul  2 17:01:38 2020;53;0;0;0;
Thu Jul  2 17:01:38 2020;57;0;0;0;
Thu Jul  2 17:01:39 2020;56;0;0;0;
Thu Jul  2 17:01:39 2020;28;0;0;0;
Thu Jul  2 17:01:40 2020;118;0;0;0;
Thu Jul  2 17:01:40 2020;32;0;0;0;
Thu Jul  2 17:01:41 2020;125;0;0;0;
Thu Jul  2 17:01:41 2020;123;0;0;0;
Thu Jul  2 17:01:42 2020;123;0;0;0;
Thu Jul  2 17:01:43 2020;122;0;0;0;
Thu Jul  2 17:01:43 2020;29;0;0;0;
Thu Jul  2 17:01:44 2020;123;0;0;0;
Thu Jul  2 17:01:44 2020;24;0;0;0;
Thu Jul  2 17:01:45 2020;69;0;0;0;
Thu Jul  2 17:01:45 2020;118;0;0;0;
Thu Jul  2 17:01:46 2020;23;0;0;0;
Thu Jul  2 17:01:46 2020;122;0;0;0;
Thu Jul  2 17:01:47 2020;30;0;0;0;
Thu Jul  2 17:01:47 2020;57;0;0;0;
Thu Jul  2 17:01:48 2020;127;0;0;0;
Thu Jul  2 17:01:48 2020;58;0;0;0;
Thu Jul  2 17:01:49 2020;116;0;0;0;
Thu Jul  2 17:01:50 2020;102;0;0;0;
Thu Jul  2 17:01:50 2020;32;0;0;0;
Thu Jul  2 17:01:51 2020;89;0;0;0;
Thu Jul  2 17:01:51 2020;50;0;0;0;
Thu Jul  2 17:01:52 2020;118;0;0;0;
Thu Jul  2 17:01:52 2020;122;0;0;0;
Thu Jul  2 17:01:53 2020;123;0;0;0;
Thu Jul  2 17:01:53 2020;123;0;0;0;
Thu Jul  2 17:01:54 2020;128;0;0;0;
Thu Jul  2 17:01:54 2020;124;0;0;0;
Thu Jul  2 17:01:55 2020;77;0;0;0;
Thu Jul  2 17:01:55 2020;57;0;0;0;
Thu Jul  2 17:01:56 2020;55;0;0;0;
Thu Jul  2 17:01:56 2020;95;0;0;0;
Thu Jul  2 17:01:57 2020;62;0;0;0;
Thu Jul  2 17:01:58 2020;109;0;0;0;
Thu Jul  2 17:01:58 2020;29;0;0;0;
Thu Jul  2 17:01:59 2020;119;0;0;0;
Thu Jul  2 17:02:00 2020;64;0;0;0;
Thu Jul  2 17:02:00 2020;54;0;0;0;
Thu Jul  2 17:02:01 2020;117;0;0;0;
Thu Jul  2 17:02:02 2020;61;0;0;0;
Thu Jul  2 17:02:02 2020;22;0;0;0;
Thu Jul  2 17:02:03 2020;68;0;0;0;
Thu Jul  2 17:02:03 2020;123;0;0;0;
Thu Jul  2 17:02:04 2020;118;0;0;0;
Thu Jul  2 17:02:04 2020;26;0;0;0;
Thu Jul  2 17:02:25 2020;39;0;0;0;
Thu Jul  2 17:02:26 2020;117;0;0;0;
Thu Jul  2 17:02:26 2020;26;0;0;0;
Thu Jul  2 17:02:27 2020;126;0;0;0;
Thu Jul  2 17:02:27 2020;18;0;0;0;
Thu Jul  2 17:02:28 2020;119;0;0;0;
Thu Jul  2 17:02:28 2020;118;0;0;0;
Thu Jul  2 17:02:29 2020;121;0;0;0;
Thu Jul  2 17:02:30 2020;112;0;0;0;
Thu Jul  2 17:02:30 2020;121;0;0;0;
Thu Jul  2 17:02:31 2020;48;0;0;0;
Thu Jul  2 17:02:31 2020;48;0;1;1;
Thu Jul  2 17:02:32 2020;121;1;1;1;
Thu Jul  2 17:02:33 2020;28;1;1;1;
Thu Jul  2 17:02:33 2020;32;1;1;1;
Thu Jul  2 17:02:34 2020;50;1;1;1;
Thu Jul  2 17:02:34 2020;39;1;1;1;
Thu Jul  2 17:02:35 2020;120;1;1;1;
Thu Jul  2 17:02:36 2020;115;1;1;1;
Thu Jul  2 17:02:37 2020;121;0;1;1;
Thu Jul  2 17:02:37 2020;43;0;1;1;
Thu Jul  2 17:02:38 2020;48;0;1;1;
Thu Jul  2 17:02:38 2020;47;0;1;1;
Thu Jul  2 17:02:39 2020;48;0;1;1;
Thu Jul  2 17:02:39 2020;47;0;1;1;
Thu Jul  2 17:02:40 2020;49;0;1;1;
Thu Jul  2 17:02:40 2020;74;0;1;1;
Thu Jul  2 17:02:41 2020;108;0;1;1;
Thu Jul  2 17:02:42 2020;42;0;1;1;
Thu Jul  2 17:02:42 2020;52;0;1;1;
Thu Jul  2 17:02:43 2020;65;0;1;0;
Thu Jul  2 17:02:43 2020;121;0;1;0;
Thu Jul  2 17:02:44 2020;65;1;1;1;
Thu Jul  2 17:02:44 2020;80;1;1;1;
Thu Jul  2 17:02:45 2020;78;1;1;0;
Thu Jul  2 17:02:46 2020;78;1;1;0;
Thu Jul  2 17:02:46 2020;120;1;1;0;
Thu Jul  2 17:02:47 2020;123;1;1;0;
Thu Jul  2 17:02:47 2020;79;1;1;0;
Thu Jul  2 17:02:48 2020;76;1;1;0;
Thu Jul  2 17:02:48 2020;121;1;1;0;
Thu Jul  2 17:02:49 2020;65;1;1;0;
Thu Jul  2 17:02:49 2020;43;1;1;0;
Thu Jul  2 17:02:50 2020;60;1;1;0;
Thu Jul  2 17:02:50 2020;122;1;1;0;
Thu Jul  2 17:02:51 2020;65;0;0;0;
Thu Jul  2 17:02:52 2020;125;0;0;0;
Thu Jul  2 17:02:53 2020;115;0;0;0;
Thu Jul  2 17:02:53 2020;120;0;0;0;
Thu Jul  2 17:02:54 2020;76;0;0;0;
Thu Jul  2 17:02:54 2020;112;0;0;0;
Thu Jul  2 17:02:55 2020;78;0;0;0;
Thu Jul  2 17:02:55 2020;63;0;0;0;
Thu Jul  2 17:02:56 2020;77;1;1;0;
Thu Jul  2 17:02:56 2020;121;1;1;1;
Thu Jul  2 17:02:57 2020;106;1;1;1;
Thu Jul  2 17:02:58 2020;59;1;1;1;
Thu Jul  2 17:02:58 2020;77;1;1;1;
Thu Jul  2 17:02:59 2020;100;1;1;1;
Thu Jul  2 17:02:59 2020;78;1;1;1;
Thu Jul  2 17:03:00 2020;99;1;1;1;
Thu Jul  2 17:03:00 2020;77;1;1;0;
Thu Jul  2 17:03:01 2020;65;0;0;0;
Thu Jul  2 17:03:01 2020;78;0;0;0;
Thu Jul  2 17:03:02 2020;117;1;1;1;
Thu Jul  2 17:03:02 2020;75;1;1;1;
Thu Jul  2 17:03:03 2020;119;1;1;1;
Thu Jul  2 17:03:03 2020;119;1;1;1;
Thu Jul  2 17:03:04 2020;123;0;0;0;
Thu Jul  2 17:03:04 2020;61;0;0;0;
Thu Jul  2 17:03:05 2020;120;1;1;1;
Thu Jul  2 17:03:05 2020;118;1;1;1;
Thu Jul  2 17:03:06 2020;43;0;0;0;
Thu Jul  2 17:03:07 2020;122;1;1;1;
Thu Jul  2 17:03:07 2020;118;1;1;1;
Thu Jul  2 17:03:08 2020;120;0;0;0;
Thu Jul  2 17:03:08 2020;79;1;1;0;
Thu Jul  2 17:03:09 2020;77;1;1;1;
Thu Jul  2 17:03:10 2020;119;1;1;0;
Thu Jul  2 17:03:10 2020;119;0;0;0;
Thu Jul  2 17:03:11 2020;120;1;1;1;
Thu Jul  2 17:03:12 2020;61;1;1;1;
Thu Jul  2 17:03:12 2020;81;1;1;1;
Thu Jul  2 17:03:13 2020;7;1;1;1;
Thu Jul  2 17:03:13 2020;3;1;1;1;
Thu Jul  2 17:03:14 2020;3;1;1;0;
Thu Jul  2 17:03:15 2020;4;0;1;0;
Thu Jul  2 17:03:15 2020;5;0;1;0;
Thu Jul  2 17:03:16 2020;5;0;1;0;
Thu Jul  2 17:03:16 2020;49;1;1;1;
Thu Jul  2 17:03:17 2020;10;1;1;1;
Thu Jul  2 17:03:17 2020;22;1;1;1;
Thu Jul  2 17:03:18 2020;117;1;1;1;
Thu Jul  2 17:03:18 2020;118;1;1;1;
Thu Jul  2 17:03:19 2020;96;1;1;1;
Thu Jul  2 17:03:20 2020;4;1;1;1;
Thu Jul  2 17:03:20 2020;6;1;1;0;
Thu Jul  2 17:03:21 2020;4;0;1;0;
Thu Jul  2 17:03:21 2020;53;0;1;0;
Thu Jul  2 17:03:22 2020;4;0;1;0;
Thu Jul  2 17:03:22 2020;5;0;1;0;
Thu Jul  2 17:03:23 2020;328;0;1;0;
Thu Jul  2 17:03:23 2020;64;1;1;1;
Thu Jul  2 17:03:24 2020;102;1;1;1;
Thu Jul  2 17:03:25 2020;77;1;1;1;
Thu Jul  2 17:03:25 2020;64;1;1;1;
Thu Jul  2 17:03:26 2020;18;1;1;1;
Thu Jul  2 17:03:26 2020;74;1;1;1;
Thu Jul  2 17:03:27 2020;62;1;1;1;
Thu Jul  2 17:03:27 2020;65;1;1;1;
Thu Jul  2 17:03:28 2020;134;1;1;1;
Thu Jul  2 17:03:28 2020;129;1;1;1;
Thu Jul  2 17:03:29 2020;131;1;1;1;
Thu Jul  2 17:03:29 2020;65;1;1;1;
Thu Jul  2 17:03:30 2020;72;1;1;1;
Thu Jul  2 17:03:30 2020;121;1;1;1;
Thu Jul  2 17:03:31 2020;59;1;1;1;
Thu Jul  2 17:03:31 2020;64;1;1;1;
Thu Jul  2 17:03:32 2020;62;1;1;1;
Thu Jul  2 17:03:33 2020;48;1;1;1;
Thu Jul  2 17:03:33 2020;77;1;1;1;
Thu Jul  2 17:03:34 2020;78;1;1;1;
Thu Jul  2 17:03:34 2020;96;1;1;1;
Thu Jul  2 17:03:35 2020;105;1;1;1;
Thu Jul  2 17:03:35 2020;50;1;1;1;
Thu Jul  2 17:03:36 2020;65;1;1;1;
Thu Jul  2 17:03:36 2020;98;1;1;1;
Thu Jul  2 17:03:37 2020;79;1;1;1;
Thu Jul  2 17:03:37 2020;55;1;1;1;
Thu Jul  2 17:03:38 2020;75;1;1;1;
Thu Jul  2 17:03:39 2020;73;1;1;1;
Thu Jul  2 17:03:39 2020;49;1;1;1;
Thu Jul  2 17:03:40 2020;50;1;1;1;
Thu Jul  2 17:03:40 2020;52;1;1;1;
Thu Jul  2 17:03:41 2020;111;1;1;1;
Thu Jul  2 17:03:41 2020;61;1;1;1;
Thu Jul  2 17:03:42 2020;1;1;1;1;
Thu Jul  2 17:03:42 2020;64;1;1;1;
Thu Jul  2 17:03:43 2020;109;1;1;1;
Thu Jul  2 17:03:43 2020;111;1;1;1;
Thu Jul  2 17:03:44 2020;111;1;1;1;
Thu Jul  2 17:03:44 2020;110;1;1;1;
